Hospital/Clinic Name,Type,City,Telephone,Emergency Services,Address/Street,Latitude,Longitude,Last_Updated,Google Maps Link,Extraction_Day
Centre de santé Bab El Ain,Clinic,Chefchaouen,+212 6 18 71 80 38,Not Specified,5P8M+XQP,35.167467,-5.2654636,2026-03-05,"https://www.google.com/maps/search/?api=1&query=35.167467,-5.2654636",Friday (2026-06-05)
Croissant Rouge الهلال الأحمر,Clinic,Chefchaouen,Not Available,Not Specified,Av. Moulay Abdelsalam,35.1688177,-5.2717462,2026-03-05,"https://www.google.com/maps/search/?api=1&query=35.1688177,-5.2717462",Friday (2026-06-05)
Hôpital Mohammed V,Hospital,Morocco,+212 5 39 98 62 28,Not Specified,Not Listed,35.1690506,-5.2703159,2026-03-05,"https://www.google.com/maps/search/?api=1&query=35.1690506,-5.2703159",Friday (2026-06-05)
Clinique Sebou,Clinic,Morocco,+212 537 360331,Not Specified,Rue Al Masjid,34.2626077,-6.5721098,2026-04-02,"https://www.google.com/maps/search/?api=1&query=34.2626077,-6.5721098",Friday (2026-06-05)
Centre de santé Ain el Haouzi,Clinic,Chefchaouen,Not Available,Not Specified,Av. Dakhla,35.1791344,-5.2795286,2026-03-05,"https://www.google.com/maps/search/?api=1&query=35.1791344,-5.2795286",Friday (2026-06-05)
Clinique Achifa,Clinic,Béni Mellal,+212 5 23 48 35 45; +212 5 23 48 68 41; +212 6 61 23 16 80,Not Specified,Avenue Hassan II,32.331662,-6.3618831,2026-03-05,"https://www.google.com/maps/search/?api=1&query=32.331662,-6.3618831",Friday (2026-06-05)
Laboratoire Central D'Analyses Médicales du Tadla,Hospital,Béni Mellal,+212 5 23 48 64 48,Not Specified,"Avenue Mohammed V, 1 ère étage",32.3336887,-6.3602737,2026-03-05,"https://www.google.com/maps/search/?api=1&query=32.3336887,-6.3602737",Friday (2026-06-05)
Clinique les oliviers,Clinic,Béni Mellal,+212 5 23 48 36 29,Not Specified,Avenue Hassan II quartier al adarissa,32.3338066,-6.3639932,2026-03-05,"https://www.google.com/maps/search/?api=1&query=32.3338066,-6.3639932",Friday (2026-06-05)
Clinique Atlas,Clinic,Béni Mellal,+212 5 23 48 87 25,Not Specified,Avenue Hassan II,32.3307633,-6.3606517,2026-04-16,"https://www.google.com/maps/search/?api=1&query=32.3307633,-6.3606517",Friday (2026-06-05)
clinique Assalam,Clinic,Béni Mellal,+212 5 23 48 64 38; +212 5 23 48 64 39,Not Specified,Quartier Administratif Rue Taif,32.3320732,-6.3609307,2026-03-05,"https://www.google.com/maps/search/?api=1&query=32.3320732,-6.3609307",Friday (2026-06-05)
Clinique Alamal,Clinic,Béni Mellal,+212 5 23 48 98 88; +212 5 23 48 97 80; +212 6 68 63 72 93,Not Specified,Rue Taif Quartier Moderne,32.3321594,-6.3597022,2026-03-05,"https://www.google.com/maps/search/?api=1&query=32.3321594,-6.3597022",Friday (2026-06-05)
Clinique Agadir des spécialités,Clinic,Morocco,+212 5 28 84 84 84,Not Specified,Boulevard Hassan II,30.4148236,-9.5942244,2026-03-05,"https://www.google.com/maps/search/?api=1&query=30.4148236,-9.5942244",Friday (2026-06-05)
Clinique Abdelmoumen,Clinic,Morocco,+212 5 22 98 02 98,Not Specified,Rue Al Imam Boussairi,33.5652215,-7.6275311,2026-03-04,"https://www.google.com/maps/search/?api=1&query=33.5652215,-7.6275311",Friday (2026-06-05)
Clinique taghzout مصحة تاغزوت,Clinic,Morocco,+212 5 28 33 23 33,Not Specified,Boulevard Hassan II شارع الحسن الثاني,30.3606176,-9.5349066,2026-03-05,"https://www.google.com/maps/search/?api=1&query=30.3606176,-9.5349066",Friday (2026-06-05)
Azzouzi صيدلية العزوزي,Hospital,Fés,+212 5 35 96 04 28,No,47 LOT WAHDA NARJISSB,32.9980669,-7.6187673,2026-03-04,"https://www.google.com/maps/search/?api=1&query=32.9980669,-7.6187673",Friday (2026-06-05)
Clinique Slaiki,Clinic,Morocco,+212 5 35 62 07 75,Not Specified,9 rue abdelaziz benchekroun fes,34.0390525,-4.9937218,2026-03-05,"https://www.google.com/maps/search/?api=1&query=34.0390525,-4.9937218",Friday (2026-06-05)
Clinique de fez,Clinic,rue abdessalam serghini,+212 5 35 62 03 07,Not Specified,Rue Abdesslam Serghini,34.0432026,-4.9965422,2026-03-05,"https://www.google.com/maps/search/?api=1&query=34.0432026,-4.9965422",Friday (2026-06-05)
Clinique Ben Moussa,Clinic,87 RUE OMAR EL DRISSI,+212 5 35 62 27 34,Not Specified,Rue Omar Al Idrissi,34.0386401,-4.9934857,2026-03-05,"https://www.google.com/maps/search/?api=1&query=34.0386401,-4.9934857",Friday (2026-06-05)
Clinique Les Jumelles,Clinic,Morocco,+212 5 35 65 63 63,Not Specified,Avenue Roi Houssaine Rue Ibn Hani Face al Omrane,34.030257,-4.9985712,2026-03-05,"https://www.google.com/maps/search/?api=1&query=34.030257,-4.9985712",Friday (2026-06-05)
clique assalam,Clinic,ait skatou,+212 5 35 93 01 85,Not Specified,Ait Skatou,34.0260471,-4.9994625,2026-03-05,"https://www.google.com/maps/search/?api=1&query=34.0260471,-4.9994625",Friday (2026-06-05)
Avicenne ابن سينا,Clinic,Morocco,+212 5 22 79 33 00,Not Specified,Boulevard de l'Atlantide,33.5542874,-7.6110661,2026-03-04,"https://www.google.com/maps/search/?api=1&query=33.5542874,-7.6110661",Friday (2026-06-05)
