Laboratory Name,City,Telephone,Address/Street,Latitude,Longitude,Last_Updated,Google Maps Link,Extraction_Day
Centre Biologie Maroc,Morocco,+212 5 35 94 14 14,rue Lalla Asmaa,34.0436115,-5.0037725,2026-03-05,"https://www.google.com/maps/search/?api=1&query=34.0436115,-5.0037725",Friday (2026-06-05)
Laboratoire Biologie Médicale,Morocco,+212 5 35 62 40 44,Avenue Mohamed es Saoui,34.037546,-4.9997023,2026-03-05,"https://www.google.com/maps/search/?api=1&query=34.037546,-4.9997023",Friday (2026-06-05)
Laboratoire El Farabi,Fès,+212 5 35 64 05 74,Avenue Youssef Ben Tachfine شارع الجيش الملكي,34.0350713,-4.9994979,2026-03-05,"https://www.google.com/maps/search/?api=1&query=34.0350713,-4.9994979",Friday (2026-06-05)
Laboratoire Bioclinic d'Analyse Médicales,Morocco,+212 5 37 68 25 25,Avenue Omar Ibn Khattab,33.9975096,-6.8435254,2026-04-16,"https://www.google.com/maps/search/?api=1&query=33.9975096,-6.8435254",Friday (2026-06-05)
LABORATOIRE RIAD D'ANALYSES MÉDICALES,Morocco,+212 5 36 74 11 66,Boulevard Allal El Fassi,34.6789977,-1.8962133,2026-04-16,"https://www.google.com/maps/search/?api=1&query=34.6789977,-1.8962133",Friday (2026-06-05)
مختبر القباج,Morocco,+212 5 37 41 72 23,Not Listed,33.8457481,-7.0449816,2026-03-05,"https://www.google.com/maps/search/?api=1&query=33.8457481,-7.0449816",Friday (2026-06-05)
Laboratoire d'Analyses Médicales,Tanger,+212 5 39 30 46 16,malabata mall,35.7725658,-5.7700796,2026-04-16,"https://www.google.com/maps/search/?api=1&query=35.7725658,-5.7700796",Friday (2026-06-05)
Laboratoire Roma d'Analyses Médicales,Morocco,+212 5 22 28 51 60,Angle Bd 2 Mars et Rue de Rome,33.5711466,-7.6129492,2026-04-16,"https://www.google.com/maps/search/?api=1&query=33.5711466,-7.6129492",Friday (2026-06-05)
مختبر الصحة العامة-قطاع صحة البيئة,Morocco,Not Available,Not Listed,27.1302548,-13.1411564,2026-01-02,"https://www.google.com/maps/search/?api=1&query=27.1302548,-13.1411564",Friday (2026-06-05)
Laboratoire d'Analyses Médicales Taounate Bio,Morocco,Not Available,Not Listed,34.5339977,-4.6380192,2026-04-20,"https://www.google.com/maps/search/?api=1&query=34.5339977,-4.6380192",Friday (2026-06-05)
Laboratoire Massira مختبر المسيرة,Morocco,Not Available,Not Listed,33.5869063,-7.6361675,2026-05-20,"https://www.google.com/maps/search/?api=1&query=33.5869063,-7.6361675",Friday (2026-06-05)
laboratoire avicenne-khouribgaمختبر ابن سينا-خريبكة,khouribga,+212 5 23 49 40 04,Rue Marrakech,32.8814201,-6.9128216,2026-03-05,"https://www.google.com/maps/search/?api=1&query=32.8814201,-6.9128216",Friday (2026-06-05)
مختبر الصحة العامة-قطاع صحة البيئة,Morocco,Not Available,Not Listed,27.1302292,-13.1411297,2026-01-02,"https://www.google.com/maps/search/?api=1&query=27.1302292,-13.1411297",Friday (2026-06-05)
