Pharmacy Name,City,Telephone,Address/Street,Latitude,Longitude,Working Days,Working Hours,De Garde,Google Maps Link,Pharmacy_Last_Updated,Extraction_Day
Pharmacie Bounoua صيدلية بونوا,Meknès ⴰⵎⴽⵏⴰⵙ مكناس,+212 5 35 60 47 74,Avenue Bir Anzarene شارع بئر أنزران,33.8923247,-5.547768,Monday - Saturday (Standard),09:00 - 20:00 (Standard),Yes / 24h,"https://www.google.com/maps/search/?api=1&query=33.8923247,-5.547768",2026-03-05,Friday (2026-06-05)
Pharmacie Centrale الصيدلية المركزية,Fès,+212 5 35 62 25 04,Boulevard Mohamed V,34.036761,-4.9978456,Monday - Saturday (Standard),09:00 - 20:00 (Standard),Yes / 24h,"https://www.google.com/maps/search/?api=1&query=34.036761,-4.9978456",2026-03-05,Friday (2026-06-05)
Pharmacie Bab Bhar صيدلية باب البحر,Tanger ⵜⵉⵏ ⵉⴳⴳⵉ طنجة,Not Available,Rue Bab El Assa,35.7878914,-5.8117694,Monday - Saturday (Standard),09:00 - 20:00 (Standard),Yes / 24h,"https://www.google.com/maps/search/?api=1&query=35.7878914,-5.8117694",2026-05-01,Friday (2026-06-05)
Pharmacie Filali صيدلية فيلالي,Fès,+212 5 35 62 21 63,AV Obaida ibn El Jarrah,34.0400364,-5.0057261,Monday - Saturday (Standard),09:00 - 20:00 (Standard),Yes / 24h,"https://www.google.com/maps/search/?api=1&query=34.0400364,-5.0057261",2026-03-05,Friday (2026-06-05)
Pharmacie Achifa,midar,+212 5 36 36 40 98,Avenue Hassan 2,34.9391708,-3.5345541,Monday - Saturday (Standard),09:00 - 20:00 (Standard),No,"https://www.google.com/maps/search/?api=1&query=34.9391708,-3.5345541",2026-04-16,Friday (2026-06-05)
Pharmacie El Machichi صيدلية المشيشي,Chefchaouen ⵜⵛⴻⴼⵜⵛⴰⵡⴻⵏ شفشاون,+212 5 39 98 71 49,Avenue Machichi شارع المشيشي,35.170529,-5.2686114,Monday - Saturday (Standard),09:00 - 20:00 (Standard),Yes / 24h,"https://www.google.com/maps/search/?api=1&query=35.170529,-5.2686114",2026-03-05,Friday (2026-06-05)
Pharmacie la Province صيدلية العمالة,Chefchaouen,+212 5 39 88 38 55,Avenue Massira Khadra شارع المسيرة الخضراء,35.1705538,-5.273098,Monday - Saturday (Standard),09:00 - 20:00 (Standard),Yes / 24h,"https://www.google.com/maps/search/?api=1&query=35.1705538,-5.273098",2026-03-05,Friday (2026-06-05)
Pharmacie Ibn Sina صيدلية ابن سينا,Chefchaouen ⵛⴼⵛⴰⵡⵏ شفشاون,+212 5 39 98 61 58,Avenue Jamal Edin Elaafghani شارع جمال الدين الافغاني,35.169211,-5.2699234,Monday - Saturday (Standard),09:00 - 20:00 (Standard),Yes / 24h,"https://www.google.com/maps/search/?api=1&query=35.169211,-5.2699234",2026-03-05,Friday (2026-06-05)
Pharmacie Al Insaf صيدلية الإنصاف,Oujda,+212 5 36 69 78 02,Rue Oued Dahab,34.6668092,-1.9107118,Monday - Saturday (Standard),09:00 - 20:00 (Standard),Yes / 24h,"https://www.google.com/maps/search/?api=1&query=34.6668092,-1.9107118",2026-03-04,Friday (2026-06-05)
Pharmacie Ibn El Haytam صيدلية ابن الهيثم,Rabat,+212 5 37 73 46 03,Avenue Al Mouqaouama شارع المقاومة,34.0170042,-6.8531909,Monday - Saturday (Standard),09:00 - 20:00 (Standard),Yes / 24h,"https://www.google.com/maps/search/?api=1&query=34.0170042,-6.8531909",2026-03-05,Friday (2026-06-05)
Pharmacie Bachiri صيدلية بشيري,Berkane,+212 5 36 61 21 45,Avenue Hassan II,34.9204071,-2.3255189,Monday - Saturday (Standard),09:00 - 20:00 (Standard),Yes / 24h,"https://www.google.com/maps/search/?api=1&query=34.9204071,-2.3255189",2026-03-04,Friday (2026-06-05)
Pharmacie Sayegh صيدلية الصايغ,Rabat,Not Available,Avenue Al Kifah شارع الكفاح,33.9904097,-6.882226,Mo-Sa,Mo-Sa 09:00-12:30,Yes / 24h,"https://www.google.com/maps/search/?api=1&query=33.9904097,-6.882226",2026-04-26,Friday (2026-06-05)
MyPARA,Béni Mellal,+212 5 23 48 17 94,Rue 10 Quartier moderne,32.3332314,-6.3596207,Monday - Saturday (Standard),09:00 - 20:00 (Standard),No,"https://www.google.com/maps/search/?api=1&query=32.3332314,-6.3596207",2026-04-16,Friday (2026-06-05)
Pharmacie Zanane صيدلية زنان,Béni Mellal,+212 5 23 42 16 92,Avenue Mohammed V,32.3331857,-6.3607303,Monday - Saturday (Standard),09:00 - 20:00 (Standard),Yes / 24h,"https://www.google.com/maps/search/?api=1&query=32.3331857,-6.3607303",2026-04-16,Friday (2026-06-05)
Pharmacie Errazi صيدلية الرازي,Béni Mellal,+212 5 23 48 27 27,Avenue Hassan II,32.3318965,-6.3619824,Monday - Saturday (Standard),09:00 - 20:00 (Standard),Yes / 24h,"https://www.google.com/maps/search/?api=1&query=32.3318965,-6.3619824",2026-04-16,Friday (2026-06-05)
Pharmacie Tamagnounte صيدلية تمكنونت,Béni Mellal,+212 5 23 42 42 30,Avenue Tamagnounte,32.3325504,-6.3558387,Monday - Saturday (Standard),09:00 - 20:00 (Standard),Yes / 24h,"https://www.google.com/maps/search/?api=1&query=32.3325504,-6.3558387",2026-04-16,Friday (2026-06-05)
Pharmacie Salama,Béni Mellal,+212 5 23 48 30 50,Avenue Hassan II quartier al adarissa,32.3335868,-6.3638181,Monday - Saturday (Standard),09:00 - 20:00 (Standard),No,"https://www.google.com/maps/search/?api=1&query=32.3335868,-6.3638181",2026-03-05,Friday (2026-06-05)
CoPharmet,Béni Mellal,+212 5 23 48 18 28; +212 5 23 48 18 33,"Rue Boukraa, Quartier Moderne",32.3330033,-6.3571794,Monday - Saturday (Standard),09:00 - 20:00 (Standard),No,"https://www.google.com/maps/search/?api=1&query=32.3330033,-6.3571794",2026-03-05,Friday (2026-06-05)
Para Pharmacie Ain Asserdoune,Béni Mellal,+212 5 23 42 01 03,"bloc 2 , hay jabalya",32.3344429,-6.3632166,Monday - Saturday (Standard),09:00 - 20:00 (Standard),No,"https://www.google.com/maps/search/?api=1&query=32.3344429,-6.3632166",2026-03-05,Friday (2026-06-05)
Pharmacie ksiba ouled teima,Morocco,+212 5 28 52 01 33,Not Listed,30.2802287,-9.1563771,Monday - Saturday (Standard),09:00 - 20:00 (Standard),No,"https://www.google.com/maps/search/?api=1&query=30.2802287,-9.1563771",2026-03-05,Friday (2026-06-05)
Pharmacie Lamrini صيدلية لمريني,Sidi Slimane,+212 5 37 50 49 25,Avenue Hassan II,34.2597583,-5.9223338,Monday - Saturday (Standard),09:00 - 20:00 (Standard),Yes / 24h,"https://www.google.com/maps/search/?api=1&query=34.2597583,-5.9223338",2026-04-16,Friday (2026-06-05)
Pharmacie Farazdaq صيدلية الفرزدق,Kénitra,+212 5 37 35 12 11,Not Listed,34.256768,-6.6221521,Monday - Saturday (Standard),09:00 - 20:00 (Standard),Yes / 24h,"https://www.google.com/maps/search/?api=1&query=34.256768,-6.6221521",2026-03-05,Friday (2026-06-05)
Para Pharmacie Ouled Oujih,Morocco,+212 5 37 35 45 52,Not Listed,34.2580727,-6.6216612,Monday - Saturday (Standard),09:00 - 20:00 (Standard),No,"https://www.google.com/maps/search/?api=1&query=34.2580727,-6.6216612",2026-03-05,Friday (2026-06-05)
La grande Pharmacie de Salé,Morocco,+212 5 37 78 00 12,Not Listed,34.0356505,-6.823897,Monday - Saturday (Standard),09:00 - 20:00 (Standard),No,"https://www.google.com/maps/search/?api=1&query=34.0356505,-6.823897",2026-03-05,Friday (2026-06-05)
Pharmacie Ryad Sale,Morocco,+212 5 37 87 97 65,Not Listed,34.0357828,-6.8209248,Monday - Saturday (Standard),09:00 - 20:00 (Standard),No,"https://www.google.com/maps/search/?api=1&query=34.0357828,-6.8209248",2026-03-05,Friday (2026-06-05)
